,firm_Score,Firm,ad_Firm_Role,Job_Location,Provincia,Regione,Cultura_e_tempolibero,Affari_e_lavoro,Ricchezza_e_consumi,Giustizia_e_sicurezza,Demografia_e_società,Ambiente_e_servizi,Average_punt
211,3.9,Randstad,ms&t associated scientist,Pomezia,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
212,3.7,Adecco Italia,Associate Scientist - Immunology,Remote,,,,,,,,,
213,3.8,Solvay,Digital Change Agent - Rosignano,Rosignano,Livorno,Tuscany,456.3,461.7,567.2,639.2,514.7,472.523,518.604
214,1.4,Vector Synergy,Senior Data Scientist,La Spezia,La Spezia,Liguria,422.1,425.7,573.0,651.4,540.3,520.887,522.231
215,3.8,Thermo Fisher Scientific,Formulation and Analytical Development Scientist,Ferentino,Frosinone,Lazio,255.3,435.2,461.0,693.4,485.8,415.101,457.634
216,3.8,AXXAM SPA,Automation Scientist,Bresso,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
217,3.7,PwC,Senior Data & Analytics Consultant - Financial Services - Roma [CNS],Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
218,3.5,HUNTERS GROUP,Data Scientist,Civitavecchia,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
219,5,newcleo,Computational Scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
220,4.1,BIP - Business Integration Partners,Big Data Engineer,Palermo,Palermo,Sicily,255.6,469.3,385.0,648.7,516.8,356.761,438.694
221,4.1,UNESCO,Research Scientist,Trieste,Trieste,Friuli-Venezia Giulia,510.1,604.4,584.4,672.6,589.0,485.53,574.338
222,4.2,Manpower Modena,DATA ANALYST rif. DANA0323,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
223,3.3,Herzum Software S.R.L. Unipersonale,PM Senior (NFT),Bolzano,Bolzano,Trentino-Alto Adige,425.8,493.2,677.0,762.1,603.8,552.341,585.707
224,4.3,Ambarella,Computer Vision Algorithm/SW Engineer,Parma,Parma,Emilia-Romagna,453.9,498.0,664.1,663.7,633.9,529.189,573.798
225,3.8,LUXOTTICA,Masterthesis - Industry 4.0,Agordo,Belluno,Veneto,361.5,412.5,702.0,798.2,466.4,468.818,534.903
226,3.5,LHH,Python Developer,Remote,,,,,,,,,
227,3.1,RE COLLECTION SRL,Data Engineer Specialist,Mangone,Cosenza,Calabria,227.9,420.1,370.2,651.2,466.3,447.8,430.583
228,4,Deloitte,Deloitte NextHub Bari – Digital Risk & Regulatory – Data Management: Data Scientist & Data Engineering - Senior (+2 anni di esperienza),Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
229,4.1,BIP - Business Integration Partners,Business Intelligence Analyst,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
230,4.1,Fondazione Links_Leading Innovation and Knowledge for Society,Ricercatore Blockchain,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
231,3.2,Danieli Group,SERVICE - Data Analyst Manager (Costing),Buttrio,Udine,Friuli-Venezia Giulia,459.3,435.3,621.4,823.5,545.3,486.725,561.921
232,3.8,Thermo Fisher Scientific,Analytical Development & GMP Regulatory Documentation,Monza,Monza-Brianza,Lombardy,381.5,552.5,646.3,774.1,572.7,370.421,549.587
233,5,Open Search Network Ltd,Senior It Architect,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
234,3.9,Immobiliare.it,Computer Vision Engineer,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
235,4,Deloitte,Deloitte NextHub Bari – Data Scientist & Engineering - Junior,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
236,4.1,Denodo Technologies,Business Development Representative - Arabic Speaking,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
237,3.6,Moxoff S.p.A.,CHIEF TECHNICAL OFFICIER,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
238,4.1,BIP - Business Integration Partners,Mobility & Transportation Scientist – Government & Public Services,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
239,3.9,DNV,Electrical Testing Engineer internship,Imola,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
240,3.4,CRIF,Internship Analyst,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
241,4.1,Stevanato Group,Artificial Intelligence Specialist (4681),Piombino Dese,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
242,2.3,LUBEA,AWS REDSHIFT DEVELOPER,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
243,4,Global ATS - Italian,Financial Risk Management | Data \u0026 Analytics Senior Consultant,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
244,4.4,Ecoh Media,Tableau Business Intelligence Consultant,Pescara,Pescara,Abruzzo,427.0,453.4,489.7,702.4,583.1,486.638,523.706
245,3.7,PwC,Senior Data&Analytics Consultant - Financial Services - Milano [CNS],Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
246,3.7,Reverse SpA,MLOPS ENGINEER,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
247,3.1,RE COLLECTION SRL,Solution Architect,San Donato Milanese,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
248,3.3,Serco Europe,Junior Atmospheric Remote Sensing Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
249,3.8,Istituto Italiano di Tecnologia,Postdoc on Legged Locomotion Control,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
250,4.1,BIP - Business Integration Partners,Data Project Manager,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
251,4.1,Fondazione Links_Leading Innovation and Knowledge for Society,Ricercatore mobilità del futuro,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
252,4.3,Avanade,Data Platform Engineer,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
253,3.5,Ospedale San Raffaele srl,Senior staff position in Bioinformatics and Cardiovascular Sciences,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
254,4.1,BIP - Business Integration Partners,Business Intelligence Specialist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
255,3.6,Synergie Italia S.p.a.,Data Engineer,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
256,3.7,Adecco Italia,Senior Data Analyst/Data Scientist,Mantova,Mantova,Lombardy,326.3,392.2,616.4,712.1,526.2,465.526,506.454
257,3.5,LHH,Maintenance Engineer,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
258,3.6,Etjca S.p.a.,Data Engineer,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
259,3.2,Danieli Group,DANIELI AUTOMATION - Process Technologist R&D Automation,Buttrio,Udine,Friuli-Venezia Giulia,459.3,435.3,621.4,823.5,545.3,486.725,561.921
260,4.1,BIP - Business Integration Partners,Business Analyst,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
261,3.9,ManpowerGroup,Internship Industry 4.0 and Software Engineer,Zola Predosa,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
262,3.7,Alti Profili,DATA SCIENTIST,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
263,4.1,GSK,Clinical Science Lead (CSL) - Respiratory Vaccines,Remote,,,,,,,,,
264,3.8,Istituto Italiano di Tecnologia,Postdoc on Robot learning and control,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
265,4,Deloitte,Deloitte Hub Bari - Team Financial Advisory VCS – Data analyst/data scientist - Senior Consultant (+2 anni di esperienza),Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
266,3.8,Istituto Italiano di Tecnologia,Postdoc on Perception and Situational Awareness for mobile robots,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
267,4.1,Lilly,Principal Scientist - Drug Product External Manufacturing TS/MS,Sesto Fiorentino,Firenze,Tuscany,516.5,537.3,621.9,648.8,622.7,543.792,581.832
268,4.1,GSK,"Director, Pipeline Project Management Vaccines",Remote,,,,,,,,,
269,4.3,Avanade,Data Scientist | Categorie Protette - Centre of Excellence,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
270,3.6,Moxoff S.p.A.,FULL STACK DEVELOPER,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
271,3.4,CRIF,Senior Consultant - Engagement/Marketing Lead,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
272,4.1,GSK,SERM (Safety Evaluation and Risk Management) Medical Associate Director,Remote,,,,,,,,,
273,3.8,BGP,Data Developer & Engineer,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
274,Null,Expandi Group,Data Engineer (hybrid-remote),Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
275,Null,INSIGHTUP SRL,Data Engineer,Porto San Giorgio,Fermo,Marche,353.0,415.9,458.0,721.0,418.1,496.834,477.139
276,Null,Alan Advantage,Junior Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
277,Null,EXAK Srl,PHP web developer,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
278,Null,Terishield,Data Scientist,Novara,Novara,Piedmont,293.9,512.5,638.7,763.2,574.0,402.876,530.863
279,Null,JP Mawel srl,JUNIOR DATA SCIENTIST ARTIFICIAL INTELLIGENCE ENTRY LEVEL,Nola,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
280,Null,HESPLORA,Junior Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
281,Null,PS Lavoro srl,Data Scientist Power BI – Padova Ovest,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
282,Null,Humanitas,Data Scientist - Machine Learning Engineer,Rozzano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
283,Null,Wellnet,Stage Digital Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
284,Null,Titan4,Geospatial Data scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
285,Null,Vicino a Te,DATA SCIENTIST,Oristano,Oristano,Sardinia,267.4,428.8,431.0,843.9,398.6,544.457,485.693
286,Null,3E Informatica,data scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
287,Null,Humanitas,Data Scientist - Machine Learning Engineer,Rozzano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
288,Null,3Brain AG,Data Scientist,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
289,Null,lol.travel,Data scientist,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
290,Null,Artecha,Data Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
291,Null,Jakin,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
292,Null,PS Lavoro srl,Data Scientist Power BI – Padova Ovest,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
293,Null,3Brain AG,Data Scientist,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
294,Null,Artecha,Data Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
295,Null,Jakin,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
296,Null,EIES GROUP,DATA SCIENTIST,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
297,Null,Onyx Technology,SENIOR DATA SCIENTIST (con almeno 3+ anni di esperienza),Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
298,Null,Spectus,Senior Data Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
299,Null,Alia Therapeutics,(Senior) Research Scientist,Trento,Trento,Trentino-Alto Adige,448.5,519.3,662.3,701.1,591.8,536.632,576.605
300,Null,Humanitas,Scientist and Coordinator Correlative Light Cryo-Electron Microscopy (CLEM),Rozzano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
301,Null,EgoValeo,Data Scientist con Power BI,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
302,Null,EgoValeo,Data Scientist con Power BI (società ambito finance),Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
303,Null,JP Mawel srl,Ingegnere,Nola,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
304,Null,Skienda,DATA SCIENTIST,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
305,Null,Wellnet,Digital Strategist & Analyst,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
306,Null,Cellply,Senior Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
307,Null,COISPA Tecnologia & Ricerca,Computer Scientist,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
308,Null,COISPA Tecnologia & Ricerca,Quantitative Analysis and Modelling,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
309,Null,Wellnet,Senior Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
310,Null,Polo Digitale,Data Warehouse Developer,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
311,Null,EgoValeo,Data scientist / esperto statistica per società di gaming,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
312,Null,EgoValeo,Data scientist / Analista di prodotto,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
313,Null,Be Group,Area Financial Services & Banking | Consultant – Appartenenti alle Categorie Protette (D.lgs 68/99),Remote,,,,,,,,,
